order_id,order_placement_date,customer_id,product_id,order_qty,read_timestamp,file_name,file_size,product_code
FSEP59903603,2025-09-06,789903,25891603,91,2026-04-21T17:22:01.286Z,orders_2025_09_06.csv,20802,451f7167b28a25bde73995910e31c07dfa26411f1db47847f19e16747effbdaa
FSEP59903601,2025-09-08,789903,25891601,86,2026-04-21T17:22:01.286Z,orders_2025_09_08.csv,21610,716fa4e54b7894c910180276e0535d49afb25cdcfac09533fb74ae00689e5742
FSEP59903503,2025-09-08,789903,25891503,121,2026-04-21T17:22:01.286Z,orders_2025_09_08.csv,21610,062f5574bbdf4386b2c7c6075483b417b4a00b172fcba919dbba7dae1b774379
FSEP59903503,2025-09-08,789903,25891102,294,2026-04-21T17:22:01.286Z,orders_2025_09_08.csv,21610,e92c739a8d78cd6cbe954648c2f9dd75ed61fcfd99b03e10dca65c3082d0728e
FSEP59903502,2025-09-07,789903,25891403,202,2026-04-21T17:22:01.286Z,orders_2025_09_07.csv,19981,77b6f538a9d0e0cf845db5c2cbecec46fdd30303b501e06f64baf1d4dc0e66f9
FSEP59903502,2025-09-07,789903,25891202,195,2026-04-21T17:22:01.286Z,orders_2025_09_07.csv,19981,0cb7b2f42657b625f754e833aa1cf6a967be26f17415f5342302ebb0e90c8a28
FSEP59903502,2025-09-07,789903,25891501,106,2026-04-21T17:22:01.286Z,orders_2025_09_07.csv,19981,ee1f7df9cf660ef02c33037d8d6eb94cbefe8e7b84c306e9387f09b0cae0abae
FSEP59903402,2025-09-06,789903,25891401,333,2026-04-21T17:22:01.286Z,orders_2025_09_06.csv,20802,da6bfc596c1360ca07bda4e0ae6bfe3b8456517fc6e8ddc265630ff940f9ab05
FSEP59903302,2025-09-08,789903,25891302,53,2026-04-21T17:22:01.286Z,orders_2025_09_08.csv,21610,d9ebd1ca64d23951a6310af93b1c5ac27d831ac842e89aea59a9e8b38621faa5
FSEP59902603,2025-09-08,789902,25891603,77,2026-04-21T17:22:01.286Z,orders_2025_09_08.csv,21610,451f7167b28a25bde73995910e31c07dfa26411f1db47847f19e16747effbdaa
FSEP59902603,2025-09-08,789902,25891101,361,2026-04-21T17:22:01.286Z,orders_2025_09_08.csv,21610,e91ba9d665f90254da5809bfdebe3db2be01a52f50b6fd96b57eed238392b843
FSEP59902603,2025-09-08,789902,25891203,234,2026-04-21T17:22:01.286Z,orders_2025_09_08.csv,21610,889c67757ece9c973791dfbc2d47b026a3342cc7255e47a3170329d158e897c2
