date,product_code,customer_code,sold_quantity
2024-01-01,ARCHDDE20D,70002017,161
2024-01-01,ARCH158F41,70002017,133
2024-01-01,ARCHAFF0E4,70002017,76
2024-01-01,ARCH6B94F7,70002017,92
2024-01-01,ARCH5D1FE7,70002017,117
2024-01-01,ARCH7B49A9,70002017,36
2024-01-01,ARCH497D34,70002017,98
2024-01-01,ARCHE71D79,70002017,156
2024-01-01,BADM88C384,70002017,28
2024-01-01,BADMA5EBA3,70002017,33
2024-01-01,BADM4BAB38,70002017,22
2024-01-01,BADMDC6AB1,70002017,26
2024-01-01,BADM50C510,70002017,15
2024-01-01,BADM2459FB,70002017,21
2024-01-01,BADM9DDCED,70002017,68
2024-01-01,BADMD11DA6,70002017,123
2024-01-01,BADMDA1B05,70002017,54
2024-01-01,BADM376040,70002017,83
2024-01-01,BADM03A202,70002017,14
2024-01-01,BADME151E6,70002017,109
2024-01-01,BADMDA5EC8,70002017,118
2024-01-01,BADM48A260,70002017,53
2024-01-01,BADM8FFE12,70002017,32
2024-01-01,BADM1B8332,70002017,113
2024-01-01,BADM7E90FB,70002017,60
2024-01-01,BASK7F5383,70002017,110
2024-01-01,BASKEE612D,70002017,45
2024-01-01,BASK4C69DF,70002017,111
2024-01-01,BASK9E4294,70002017,124
2024-01-01,BASKEE32E4,70002017,21
2024-01-01,BASKE57A19,70002017,72
2024-01-01,BASK728A58,70002017,90
2024-01-01,BASKED86BF,70002017,99
2024-01-01,BASK32528E,70002017,30
2024-01-01,CAMP24F868,70002017,94
2024-01-01,CAMPA3B110,70002017,16
2024-01-01,CAMPEE1159,70002017,118
2024-01-01,CAMP7A5E65,70002017,53
2024-01-01,CAMP69AF0F,70002017,14
2024-01-01,CAMP10C410,70002017,22
2024-01-01,CAMPECAADE,70002017,39
2024-01-01,CAMPF24336,70002017,39
2024-01-01,CAMPE624C8,70002017,44
2024-01-01,CAMP11E3FA,70002017,109
2024-01-01,CAMPCB6B05,70002017,15
2024-01-01,CAMPDFA679,70002017,88
2024-01-01,CAMP4005E6,70002017,102
2024-01-01,CRIC6888B0,70002017,10
2024-01-01,CRICE4E9A2,70002017,5
2024-01-01,CRIC670481,70002017,15
2024-01-01,CRICCCD675,70002017,5
2024-01-01,CRIC05FECB,70002017,29
2024-01-01,CRIC681856,70002017,10
2024-01-01,CRICBBFD56,70002017,32
2024-01-01,CRIC57FB52,70002017,32
2024-01-01,CRIC294CD6,70002017,24
2024-01-01,CRIC892BAA,70002017,15
2024-01-01,CRIC2AE4DF,70002017,5
2024-01-01,CRICC0D928,70002017,12
2024-01-01,CRIC1FC74E,70002017,147
2024-01-01,CRIC905F1B,70002017,600
2024-01-01,CRIC35B3C7,70002017,212
2024-01-01,CRIC462BA5,70002017,554
2024-01-01,CRICBDB8DA,70002017,380
2024-01-01,CRIC1BA87E,70002017,183
2024-01-01,CRIC7633A6,70002017,467
2024-01-01,CRIC8B52CE,70002017,625
2024-01-01,CRIC538334,70002017,520
2024-01-01,CRIC385D92,70002017,454
2024-01-01,CRICF950D4,70002017,606
2024-01-01,CRIC16E55F,70002017,497
2024-01-01,CRIC02DA3C,70002017,318
2024-01-01,CRIC98DB22,70002017,616
2024-01-01,CRICCE879E,70002017,583
2024-01-01,CRIC372046,70002017,552
2024-01-01,CRICF6D4C2,70002017,402
2024-01-01,CRIC7270D1,70002017,233
2024-01-01,CRIC64B186,70002017,124
2024-01-01,CRIC2841E6,70002017,209
2024-01-01,CRIC2101AF,70002017,528
2024-01-01,CRICDB62E7,70002017,573
2024-01-01,CRICA7A3B4,70002017,366
2024-01-01,CRICD69383,70002017,552
2024-01-01,FISH731A02,70002017,323
2024-01-01,FISH8CF49F,70002017,500
2024-01-01,FISH6AC780,70002017,94
2024-01-01,FISHC4F1E3,70002017,498
2024-01-01,FISH9C6E1A,70002017,492
2024-01-01,FISH9DCA51,70002017,361
2024-01-01,FISHA6E17F,70002017,172
2024-01-01,FOOTDA10C6,70002017,248
2024-01-01,FOOT8B25BD,70002017,334
2024-01-01,FOOTBCD3A9,70002017,371
2024-01-01,FOOTC865F3,70002017,531
2024-01-01,FOOT9DB3E4,70002017,483
2024-01-01,FOOTB533BF,70002017,567
2024-01-01,FOOT80D996,70002017,506
2024-01-01,FOOT0CD3DE,70002017,149
2024-01-01,FOOT528FB5,70002017,476
2024-01-01,FOOT86D9A9,70002017,511
2024-01-01,FOOT0E544D,70002017,556
2024-01-01,FOOTF63A17,70002017,372
2024-01-01,FOOT93E2C6,70002017,561
2024-01-01,FOOT2BAAAD,70002017,543
2024-01-01,FOOT9B3291,70002017,241
2024-01-01,FOOT7DA9E9,70002017,226
2024-01-01,FOOT6681B1,70002017,173
2024-01-01,FOOT2271DD,70002017,316
2024-01-01,FOOT614FC7,70002017,372
2024-01-01,FOOT41CE85,70002017,438
2024-01-01,FOOTC136F5,70002017,96
2024-01-01,FOOT7EB7BC,70002017,3
2024-01-01,FOOT17860D,70002017,3
2024-01-01,FOOT63FDD7,70002017,1
2024-01-01,FOOT21667B,70002017,5
2024-01-01,FOOTFCA276,70002017,2
2024-01-01,FOOTD3B001,70002017,5
2024-01-01,FOOT65813B,70002017,5
2024-01-01,FOOT4A3199,70002017,2
2024-01-01,FOOTFA6CB6,70002017,1
2024-01-01,FOOT424157,70002017,6
2024-01-01,FOOT67945A,70002017,3
2024-01-01,FOOTAB35F3,70002017,2
2024-01-01,FOOT489639,70002017,4
2024-01-01,FOOT49D279,70002017,1
2024-01-01,HNDLA1722E,70002017,6
2024-01-01,HNDL03C073,70002017,2
2024-01-01,HNDL9B1B7D,70002017,4
2024-01-01,HIKD0476A,70002017,12
2024-01-01,HIKAED3D8,70002017,14
2024-01-01,HIKD8EC67,70002017,14
2024-01-01,HIK5BEC68,70002017,9
2024-01-01,HIK8D130E,70002017,22
2024-01-01,HIK551B1C,70002017,9
2024-01-01,HIKC3460C,70002017,22
2024-01-01,HIKF7229D,70002017,5
2024-01-01,HIK070F0B,70002017,7
2024-01-01,HIKCAC6DD,70002017,10
2024-01-01,HIK77A350,70002017,17
2024-01-01,HIK1EDFAB,70002017,16
2024-01-01,HIK36B5E7,70002017,10
2024-01-01,HIK3D8B94,70002017,6
2024-01-01,HIKBE06F0,70002017,22
2024-01-01,HIKD4C3B1,70002017,12
2024-01-01,HIK477AAF,70002017,21
2024-01-01,HIK3DF988,70002017,20
2024-01-01,HIKD36FFD,70002017,11
2024-01-01,HIKFE5678,70002017,7
2024-01-01,HIKF1C8B8,70002017,15
2024-01-01,HIKC8C113,70002017,12
2024-01-01,HIK122A22,70002017,14
2024-01-01,HIKAD4D17,70002017,11
2024-01-01,HORSE77A541,70002017,12
2024-01-01,HORSE2EEE60,70002017,7
2024-01-01,HORSE3B12B0,70002017,6
2024-01-01,HORSEAE5456,70002017,14
2024-01-01,HORSEB0E845,70002017,10
2024-01-01,HORSE63358C,70002017,21
2024-01-01,HORSEEB0E93,70002017,7
2024-01-01,HORSEE8A02C,70002017,6
2024-01-01,HORSE32EC33,70002017,15
2024-01-01,RUND03BFE,70002017,15
2024-01-01,RUND9B589,70002017,15
2024-01-01,RUN6DCFAC,70002017,16
2024-01-01,RUN1AB696,70002017,10
2024-01-01,RUN4820EF,70002017,4
2024-01-01,RUN339949,70002017,11
2024-01-01,RUN10A073,70002017,6
2024-01-01,RUNB90BB2,70002017,5
2024-01-01,RUN785BD8,70002017,8
2024-01-01,RUN51B03C,70002017,17
2024-01-01,RUN1D0017,70002017,4
2024-01-01,RUN192A50,70002017,10
2024-01-01,RUN5C06BF,70002017,14
2024-01-01,RUNEBBF53,70002017,14
2024-01-01,RUN907813,70002017,13
2024-01-01,SKAT751A86,70002017,16
